Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ASG002__Ausgaben_fuer_den_Umweltschutz__Mill._EUR
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;13840
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15960
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;330
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;4090
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1570
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;90
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1996;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1997;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;13550
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;1997;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15570
