,Jahr,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR
0,2020-01-01,65420,67996,42703,53400,8237,68428,537268,76254,9354,63623,480202,3441007,30661,572985,31555,74931,123403,4408,362631,101,38202,6148,15937,1411,124374,28598,320817,63281,157116,53309,18166,26594,904494
1,2019-01-01,65956,68339,42083,53663,7947,71998,574998,75133,9764,63053,467346,3471750,32181,595907,30584,74436,125419,4487,349216,101,35391,6128,16192,1397,123948,28673,311355,61901,159663,53030,18327,30058,828173
2,2018-01-01,67051,69664,42640,54449,7788,74471,593892,79590,9885,63153,470972,3552088,32924,608878,32679,73837,135304,4583,351128,98,36270,6198,16106,1390,129706,30777,323978,60525,161356,53567,18708,30430,802429
3,2017-01-01,68286,70193,42876,55044,7666,79029,619803,80671,10140,63576,472038,3593245,33142,614205,32183,75152,128673,4755,363562,97,36820,6138,16406,1359,131773,29606,312911,60358,163349,53674,18825,30435,804600
4,2016-01-01,67556,71961,43694,55144,7567,79628,634996,78514,10215,64041,453013,3576803,34020,618290,29143,74678,124876,4800,369602,99,36848,5926,16090,1408,129297,29958,298716,59658,165399,53437,19235,28996,767322
5,2015-01-01,66639,71761,42422,55295,7282,79158,638743,78128,10633,64143,449639,3561181,34367,617824,31041,74141,119599,4751,357380,101,37639,5861,16065,1502,128940,30051,297598,59152,169511,54666,19026,28321,706778
6,2014-01-01,65853,71183,42067,56114,8435,72392,640355,76725,10686,65306,441608,3522884,36089,610956,27923,70481,114297,4729,356954,102,37298,5839,16444,1531,125931,30224,298557,58241,165882,54545,18596,28711,731191
7,2013-01-01,65146,72782,41236,55736,8272,70598,631779,76622,10616,68109,421794,3503404,35565,606706,29473,70099,117984,4413,369687,101,34628,5671,16187,1588,122783,30635,303325,55854,164921,54582,18699,28698,722095
8,2012-01-01,65193,73549,39681,56478,8881,68387,624578,79096,10492,68225,418117,3514757,36240,609388,35973,68467,117145,4532,387453,106,35038,5671,15928,1533,125465,30288,298597,57419,163338,53519,18953,28433,682495
9,2011-01-01,64944,73628,38514,57076,9393,68317,618047,80725,10341,70323,420535,3522614,36324,608338,37444,69243,110519,4648,379136,105,35295,5883,15167,1541,132039,30002,308405,59230,168106,54534,19108,27533,618981
10,2010-01-01,65522,74681,39122,58103,9514,68158,614428,84207,10344,71486,431450,3556565,37560,618464,36189,68602,114918,4589,379107,103,35866,5911,15182,1756,133369,30538,310102,58934,169113,54913,19840,27825,592136
11,2009-01-01,65526,74235,39942,58476,9391,69626,612187,83254,9654,66064,434415,3590822,37186,614500,33730,68252,116861,4718,391954,105,36873,5820,15531,1763,136869,30822,319108,59492,185775,54365,20456,27992,582049
12,2008-01-01,64104,74228,40649,60257,9604,74155,608701,87373,10276,70441,437457,3664651,36683,622721,42531,70699,116717,4720,407388,105,35611,5898,14991,1809,140200,30910,331624,61989,192917,57190,20089,28606,579835
13,2007-01-01,64733,76503,41499,60798,10051,75929,605856,88226,9760,73852,479883,3755333,37532,617334,39999,77626,114714,4738,417719,104,37514,5829,15467,1988,152353,30625,343948,64042,194563,56778,21331,30305,616083
14,2006-01-01,63373,79290,41907,60201,10064,75719,597882,89149,10174,72900,472505,3733922,37978,610708,39902,78118,121480,4612,416455,101,36219,5704,15182,1920,156115,30688,337544,62707,194347,57048,20592,28940,649899
15,2005-01-01,63057,79833,41976,60093,9763,77065,603132,92554,9484,75195,477003,3764690,38940,620466,40636,78704,119871,4479,420979,98,37201,5825,15030,1881,152747,30452,333290,64476,194556,57836,20702,32489,637641
16,2004-01-01,63050,81369,42864,59494,10533,78153,595914,96030,8863,77312,507815,3805260,38203,624916,42896,83014,118065,4417,439050,93,35334,5879,14894,1982,155540,30301,314981,68917,189312,59233,20103,31037,620272
17,2003-01-01,63356,86340,42183,60023,10815,81403,612924,96672,8469,74584,511762,3851173,37735,632360,40870,85628,120673,4463,444126,98,34575,5829,15240,1977,156429,30157,324614,67543,180673,58984,21510,33897,601907
18,2002-01-01,63183,90343,40451,61273,11355,82278,615532,98091,7814,75004,501471,3874651,36777,641009,40420,84565,120653,4506,444717,97,33511,6007,15147,2144,159469,29051,338356,71236,177882,58957,22748,35532,577759
19,2001-01-01,64119,93018,39783,62283,10709,82766,628274,100666,8207,75575,512098,3937633,35904,655975,41936,84450,120177,4604,456141,91,31475,6220,15180,2175,166432,28781,343794,73193,173632,59220,22201,34312,585215
20,2000-01-01,64272,95317,43594,62213,9856,82158,624281,103811,7871,76479,516730,3975309,35656,660942,39186,85454,120037,4622,456999,93,31466,6330,13563,2249,172616,28569,355209,76600,179608,59768,22212,33043,645807
21,1999-01-01,65857,134435,45071,61692,9774,85147,621342,106381,7433,79287,494237,4043003,38741,649591,38686,82147,125483,4682,464759,91,32874,6371,13426,2130,194631,29263,367768,73665,188936,60454,21391,32987,661040
22,1998-01-01,67421,138621,42091,62050,9808,87140,623568,111856,8351,79721,493303,4068395,36030,649978,36672,80728,127703,4654,459082,94,35617,6202,14574,2092,196186,28548,372362,71399,200037,61884,21379,34589,642602
23,1997-01-01,66934,137131,48621,62329,9675,92427,615381,111740,8238,79925,467465,4061399,36743,647800,40714,78442,123096,4541,458710,96,36490,6152,15366,2134,211642,27909,363594,73384,205358,62496,21138,40604,603035
24,1996-01-01,67070,137125,51689,64492,9483,94686,622639,112703,8027,80721,466243,4081658,35210,652712,38556,80055,119957,4575,448358,93,36495,6136,15651,2115,221232,28741,360134,74047,219854,61226,21188,38343,622910
25,1995-01-01,68012,136404,51460,65703,9068,92746,613254,117368,9244,79833,425794,4045379,34137,647157,38326,80380,115671,4492,454248,98,35723,6015,15926,2267,217694,28169,381362,72434,219929,61137,21937,37853,606277
26,1994-01-01,67792,133270,60194,65969,8871,98811,612842,124651,10717,76091,435168,4115563,34119,641953,40237,79179,114946,4596,458600,101,37361,5819,16043,2326,253935,27445,388805,73799,217231,61702,21787,39316,632879
27,1993-01-01,68016,133254,69082,66318,8856,109964,632885,129205,11279,80079,419395,4224177,33137,647895,41346,83726,113905,4600,468307,99,42567,5769,17757,2343,293988,28230,385021,74517,231121,60658,21795,38308,664521
28,1992-01-01,67789,130320,98406,67278,8612,123404,639665,132437,15607,85835,441696,4382919,32687,651673,45516,94358,114528,4581,463254,99,56396,5646,24991,2325,295139,30171,416081,76041,234512,59415,23311,43274,815708
