,Jahr,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR
0,2020-01-01,110828,112961,73045,75893,7122,198891,1035775,106584,24398,132336,550644,6247418,84587,939183,70295,111837,112638,5371,885419,309,47301,10644,33606,2579,271830,152892,671000,159635,239098,133467,30118,91597,1161391
1,2019-01-01,108505,112089,75510,77940,7585,219191,1072229,103205,22811,145605,570678,6359656,85122,973351,73827,117833,116602,5524,887718,311,52265,11406,35772,2780,243267,141358,668005,148412,244571,135794,30828,94694,1119567
2,2018-01-01,108828,113248,75705,78788,7583,227521,1098973,108080,22536,146115,579055,6469407,86481,989839,69171,117577,116898,5756,894373,308,51967,10611,39215,2717,246681,156631,700037,146112,245123,135390,31803,97772,1093269
3,2017-01-01,112132,114266,82146,79789,7939,227571,1145553,109049,22728,150951,564970,6632673,88358,1012283,68824,123523,116651,5659,921091,312,51765,10697,35187,2885,253053,159836,736866,145796,250505,139560,32172,106150,1114835
4,2016-01-01,111481,116061,82307,80751,7414,227142,1140946,111082,21965,156516,544773,6594623,90447,1024432,71624,126613,113260,5905,880581,320,52234,10668,34594,3350,252640,162173,735567,143659,247364,147066,32655,108181,1088105
5,2015-01-01,112807,117182,85120,83197,7428,230142,1147207,115369,21827,164825,540097,6643795,89964,1047371,70079,126440,111198,5665,897045,326,52837,10533,35972,2995,256527,164232,709787,146057,249913,154068,32472,108532,1110659
6,2014-01-01,117795,118072,82720,86513,7317,229727,1173595,112975,22216,171975,525971,6682378,95105,1074259,69003,122580,109971,5405,924026,335,54033,10862,38884,3481,248542,168607,690354,144702,254569,153442,32169,94034,1067429
7,2013-01-01,124479,124601,87371,90135,7527,234249,1212258,121259,22311,175772,530583,6918078,97436,1092428,75108,131663,112936,5350,996451,342,55016,11555,38934,3624,262469,158445,697946,138699,259942,157448,34827,111188,1074351
8,2012-01-01,130301,128453,91108,92596,8651,236035,1256574,120173,23272,193013,542801,7138058,101734,1099766,80173,134600,111131,5412,1031556,354,55648,12000,40495,3195,266737,159407,745503,140817,267794,165199,35688,115640,1135738
9,2011-01-01,132521,132014,93079,95219,8877,241646,1272347,125319,22857,200253,565611,7297627,105200,1148868,85778,133783,109856,5554,1024951,355,55877,11651,41129,3343,274209,158150,765393,147748,267134,173481,37168,117533,1077809
10,2010-01-01,137477,143892,90054,99218,12782,253499,1361401,131981,22954,215069,585073,7668165,113766,1218987,90880,130248,113064,5726,1116131,359,57277,11717,40856,3501,278046,167279,768708,158237,276241,175960,39652,120708,1104340
11,2009-01-01,136912,145285,97969,101861,13109,256601,1244971,134321,23847,249576,585766,7712209,113092,1208409,93916,135254,116166,6217,1183172,366,58082,12380,44394,3233,267206,163819,800631,157809,289085,179992,40471,120559,1093607
12,2008-01-01,149644,157687,92880,104910,14258,259400,1359028,144240,26177,261427,638925,8243659,121781,1281186,108133,136340,118303,6691,1263830,374,63285,13528,45537,3425,266741,180059,846918,171304,332088,195203,43958,128431,1085238
13,2007-01-01,154889,165859,93446,107148,15581,265278,1421238,147549,28166,287849,689481,8532196,137926,1357586,109588,145109,121885,7089,1286242,379,63189,12283,50613,3499,271315,212988,825530,180700,314808,204104,46061,132423,986477
14,2006-01-01,158949,176081,99595,109993,15386,272171,1483470,150093,30416,310160,707590,8882528,141578,1486156,113695,159226,122694,7232,1304476,387,63855,13459,51483,3523,268314,219672,843026,187602,336362,198827,46114,138226,1090261
15,2005-01-01,156842,182727,102693,113198,15618,274106,1487128,154607,31601,333791,737722,9080478,147662,1587123,113543,172501,122647,7286,1339806,396,61700,15173,51883,3759,273125,249323,787169,195787,335453,203781,48270,144259,1110562
16,2004-01-01,152876,189023,98792,116493,15001,282342,1534466,159555,32991,341089,775116,9293038,158563,1670863,112803,175315,121946,7853,1348533,401,61645,15946,55740,3224,268302,297516,790054,207382,331522,205439,48951,135561,1180026
17,2003-01-01,166207,201445,109939,125796,14692,292194,1537680,163765,33098,330533,795122,9575474,163510,1787105,108259,180170,122503,7759,1451345,439,62002,14505,56437,3357,288194,334154,761735,214271,322875,208235,51078,135218,1220450
18,2002-01-01,170234,211947,111316,134140,13747,296037,1618946,167424,34140,318889,828287,9809806,167962,1839020,104533,175786,124088,8024,1471229,467,61717,15822,57001,3632,294939,381017,794500,225153,307841,208141,51612,135861,1290715
