,Jahr,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR
0,2020-01-01,124102,134779,91597,53341,11581,153771,979224,89025,23758,221870,633101,5497357,105392,659807,45809,107049,94986,19326,570618,238,54037,16067,32233,5036,210772,147784,593905,135015,204400,118084,25313,56028,867288
1,2019-01-01,144551,155563,95613,61022,14257,171421,1108822,96757,26014,249649,741450,6173240,119901,778887,48527,114785,103065,20734,639254,261,56059,19847,34818,5331,234647,157628,628068,154580,217127,126053,29378,58816,891949
2,2018-01-01,151776,167599,100338,64360,13119,184041,1182944,104068,31095,258675,798180,6529852,127089,816147,49666,120290,111323,21941,658899,278,56692,21040,36334,5000,250179,164716,673598,160682,221764,134229,32614,62471,864243
3,2017-01-01,162904,174183,104022,67641,13519,191145,1266978,109866,32113,267641,810396,6784853,130379,873573,54879,121447,110878,21428,658373,293,56044,22898,35468,5373,257499,167841,703732,166401,219539,138173,34124,63306,858893
4,2016-01-01,171835,185113,114180,71044,13576,194880,1317184,112340,31513,262176,806981,6922840,134633,905617,54387,120306,113362,21171,700934,313,57456,25767,35158,6022,267705,172502,675367,163243,211079,143621,34587,63816,873271
5,2015-01-01,179150,196550,118997,72901,13752,204078,1344550,112332,30975,262942,847473,7140006,138933,956156,54363,128000,113374,22867,715695,341,57414,28471,36918,6627,283593,181114,670192,170199,219900,146288,35170,67912,860495
6,2014-01-01,182275,196131,120439,77068,16013,209467,1367104,113831,35134,269093,825086,7258499,150832,976271,53656,125900,110626,21908,753255,356,55529,31968,37614,7728,286484,189667,689831,167261,221441,150490,38816,66225,855741
7,2013-01-01,190014,206205,114670,81084,15390,214853,1412104,123079,36987,273552,830337,7544350,158508,1049594,57253,127730,111841,22289,776316,381,52546,34103,37991,7735,310784,191435,741036,169680,227473,152670,42858,69040,870162
8,2012-01-01,190852,215318,130326,81251,20946,227357,1412094,128087,37691,285380,900741,7871182,161436,1071177,58074,131601,110239,23196,847170,387,55890,37457,38751,9515,321602,194612,780579,173597,246030,156511,45608,77150,932896
9,2011-01-01,196368,226710,157669,80967,21481,239326,1420198,138705,40766,325887,949078,8220293,171310,1093929,65893,138426,107819,23356,896439,394,55622,40092,38538,8661,341409,198218,817676,186942,250165,163531,47065,80587,956195
10,2010-01-01,204767,243906,139024,85106,18775,252934,1445670,147922,42466,363557,950543,8510268,187211,1149624,69494,147992,120671,25634,934735,403,56722,39383,40959,10037,354500,200145,838173,203796,241301,170380,47875,87852,1000631
11,2009-01-01,204399,242436,153704,85813,19996,255625,1432953,152689,36598,434663,1004209,8721501,176458,1183782,77316,151112,127734,27224,964911,426,53536,38518,39828,8614,359948,195772,821647,220725,255452,166205,48643,89799,1059071
12,2008-01-01,218221,272957,163175,90769,19851,272421,1528376,171552,42667,454858,1120715,9440531,193626,1261939,84703,162228,152406,27503,1052327,446,62784,43204,42505,10196,398497,206351,837822,233437,302547,178899,58336,100281,1129017
13,2007-01-01,231365,299826,163014,90949,21480,290051,1590910,187560,45420,481177,1313622,10116379,210960,1345376,88142,168108,167516,29692,1171251,462,64100,46459,46696,10095,407674,212686,865871,251347,308538,186979,54082,98759,1213527
