,Zeit,Nutzungsart,Bodenfläche (qkm)
0,2016-12-31,Siedlung,32770.07
1,2016-12-31,Wohnbaufläche,13668.66
2,2016-12-31,Industrie- und Gewerbefläche,6061.04
3,2016-12-31,Industrie und Gewerbe,3731.6
4,2016-12-31,Halde,174.01
5,2016-12-31,Bergbaubetrieb,28.61
6,2016-12-31,"Tagebau, Grube, Steinbruch",1516.29
7,2016-12-31,Fläche gemischter Nutzung,4312.57
8,2016-12-31,Fläche besonderer funktionaler Prägung,1749.62
9,2016-12-31,"Sport-, Freizeit- und Erholungsfläche",4869.71
10,2016-12-31,Grünanlage,2675.61
11,2016-12-31,Friedhof,389.58
12,2016-12-31,Verkehr,18028.9
13,2016-12-31,Straßenverkehr,9479.32
14,2016-12-31,Weg,6613.56
15,2016-12-31,Platz,346.19
16,2016-12-31,Bahnverkehr,1191.93
17,2016-12-31,Flugverkehr,374.16
18,2016-12-31,Schiffsverkehr,23.74
19,2016-12-31,Vegetation,298561.67
20,2016-12-31,Landwirtschaft,182637.36
21,2016-12-31,Wald,106170.13
22,2016-12-31,Gehölz,3702.33
23,2016-12-31,Heide,609.02
24,2016-12-31,Moor,811.29
25,2016-12-31,Sumpf,369.32
26,2016-12-31,"Unland, Vegetationslose Fläche",4262.22
27,2016-12-31,Gewässer,8218.98
28,2016-12-31,Fließgewässer,3693.07
29,2016-12-31,Hafenbecken,74.07
30,2016-12-31,Stehendes Gewässer,4118.7
31,2016-12-31,Meer,333.15
32,2016-12-31,Insgesamt,357579.63
33,2017-12-31,Siedlung,32985.99
34,2017-12-31,Wohnbaufläche,13723.66
35,2017-12-31,Industrie- und Gewerbefläche,6105.85
36,2017-12-31,Industrie und Gewerbe,3783.81
37,2017-12-31,Halde,169.53
38,2017-12-31,Bergbaubetrieb,9.21
39,2017-12-31,"Tagebau, Grube, Steinbruch",1518.54
40,2017-12-31,Fläche gemischter Nutzung,4336.66
41,2017-12-31,Fläche besonderer funktionaler Prägung,1725.84
42,2017-12-31,"Sport-, Freizeit- und Erholungsfläche",5007.34
43,2017-12-31,Grünanlage,2937.74
44,2017-12-31,Friedhof,389.35
45,2017-12-31,Verkehr,18046.39
46,2017-12-31,Straßenverkehr,9456.39
47,2017-12-31,Weg,6657.76
48,2017-12-31,Platz,347.26
49,2017-12-31,Bahnverkehr,1183.21
50,2017-12-31,Flugverkehr,376.1
51,2017-12-31,Schiffsverkehr,25.68
52,2017-12-31,Vegetation,298334.22
53,2017-12-31,Landwirtschaft,182177.79
54,2017-12-31,Wald,106379.55
55,2017-12-31,Gehölz,3916.14
56,2017-12-31,Heide,646.68
57,2017-12-31,Moor,813.35
58,2017-12-31,Sumpf,372.51
59,2017-12-31,"Unland, Vegetationslose Fläche",4028.2
60,2017-12-31,Gewässer,8215.09
61,2017-12-31,Fließgewässer,3668.13
62,2017-12-31,Hafenbecken,73.66
63,2017-12-31,Stehendes Gewässer,4138.61
64,2017-12-31,Meer,334.69
65,2017-12-31,Insgesamt,357581.68
66,2018-12-31,Siedlung,33267.97
67,2018-12-31,Wohnbaufläche,13751.49
68,2018-12-31,Industrie- und Gewerbefläche,6168.89
69,2018-12-31,Industrie und Gewerbe,3823.47
70,2018-12-31,Halde,155.9
71,2018-12-31,Bergbaubetrieb,11.32
72,2018-12-31,"Tagebau, Grube, Steinbruch",1485.17
73,2018-12-31,Fläche gemischter Nutzung,4390.89
74,2018-12-31,Fläche besonderer funktionaler Prägung,1726.94
75,2018-12-31,"Sport-, Freizeit- und Erholungsfläche",5187.93
76,2018-12-31,Grünanlage,3102.35
77,2018-12-31,Friedhof,389.45
78,2018-12-31,Verkehr,18047.03
79,2018-12-31,Straßenverkehr,9426.84
80,2018-12-31,Weg,6697.71
81,2018-12-31,Platz,348.8
82,2018-12-31,Bahnverkehr,1170.45
83,2018-12-31,Flugverkehr,378.58
84,2018-12-31,Schiffsverkehr,24.64
85,2018-12-31,Vegetation,298064.71
86,2018-12-31,Landwirtschaft,181624.93
87,2018-12-31,Wald,106545.95
88,2018-12-31,Gehölz,4121.42
89,2018-12-31,Heide,680.66
90,2018-12-31,Moor,804.04
91,2018-12-31,Sumpf,382.13
92,2018-12-31,"Unland, Vegetationslose Fläche",3905.59
93,2018-12-31,Gewässer,8201.82
94,2018-12-31,Fließgewässer,3639.66
95,2018-12-31,Hafenbecken,73.75
96,2018-12-31,Stehendes Gewässer,4153.48
97,2018-12-31,Meer,334.93
98,2018-12-31,Insgesamt,357581.54
99,2019-12-31,Siedlung,33433.07
100,2019-12-31,Wohnbaufläche,13824.4
101,2019-12-31,Industrie- und Gewerbefläche,6210.52
102,2019-12-31,Industrie und Gewerbe,3836.32
103,2019-12-31,Halde,152.99
104,2019-12-31,Bergbaubetrieb,11.27
105,2019-12-31,"Tagebau, Grube, Steinbruch",1494.58
