,Zeit,Umweltbereich,Mill. EUR
0,1996,Abfallentsorgung,13840
1,1996,Gewässerschutz,15960
2,1996,Lärmbekämpfung,330
3,1996,Luftreinhaltung,4090
4,1996,Naturschutz und Landschaftspflege,1570
5,1996,Bodensanierung,90
6,1996,Klimaschutz,0
7,1996,Reaktorsicherheit,0
8,1997,Abfallentsorgung,13550
9,1997,Gewässerschutz,15570
10,1997,Lärmbekämpfung,350
11,1997,Luftreinhaltung,3320
12,1997,Naturschutz und Landschaftspflege,1510
13,1997,Bodensanierung,100
14,1997,Klimaschutz,0
15,1997,Reaktorsicherheit,0
16,1998,Abfallentsorgung,12990
17,1998,Gewässerschutz,15170
18,1998,Lärmbekämpfung,400
19,1998,Luftreinhaltung,3300
20,1998,Naturschutz und Landschaftspflege,1510
21,1998,Bodensanierung,90
22,1998,Klimaschutz,0
23,1998,Reaktorsicherheit,0
24,1999,Abfallentsorgung,13130
25,1999,Gewässerschutz,15910
26,1999,Lärmbekämpfung,390
27,1999,Luftreinhaltung,3020
28,1999,Naturschutz und Landschaftspflege,1540
29,1999,Bodensanierung,110
30,1999,Klimaschutz,0
31,1999,Reaktorsicherheit,0
32,2000,Abfallentsorgung,12390
33,2000,Gewässerschutz,15530
34,2000,Lärmbekämpfung,290
35,2000,Luftreinhaltung,3000
36,2000,Naturschutz und Landschaftspflege,1570
37,2000,Bodensanierung,290
38,2000,Klimaschutz,0
39,2000,Reaktorsicherheit,0
40,2001,Abfallentsorgung,12870
41,2001,Gewässerschutz,15090
42,2001,Lärmbekämpfung,320
43,2001,Luftreinhaltung,3090
44,2001,Naturschutz und Landschaftspflege,1550
45,2001,Bodensanierung,180
46,2001,Klimaschutz,0
47,2001,Reaktorsicherheit,0
48,2002,Abfallentsorgung,13060
49,2002,Gewässerschutz,15280
50,2002,Lärmbekämpfung,310
51,2002,Luftreinhaltung,2980
52,2002,Naturschutz und Landschaftspflege,1460
53,2002,Bodensanierung,60
54,2002,Klimaschutz,0
55,2002,Reaktorsicherheit,240
56,2003,Abfallentsorgung,12900
57,2003,Gewässerschutz,15980
58,2003,Lärmbekämpfung,360
59,2003,Luftreinhaltung,2910
60,2003,Naturschutz und Landschaftspflege,1470
61,2003,Bodensanierung,110
62,2003,Klimaschutz,0
63,2003,Reaktorsicherheit,260
64,2004,Abfallentsorgung,13060
65,2004,Gewässerschutz,16490
66,2004,Lärmbekämpfung,350
67,2004,Luftreinhaltung,2800
68,2004,Naturschutz und Landschaftspflege,1410
69,2004,Bodensanierung,70
70,2004,Klimaschutz,0
71,2004,Reaktorsicherheit,260
72,2005,Abfallentsorgung,14030
73,2005,Gewässerschutz,15530
74,2005,Lärmbekämpfung,310
75,2005,Luftreinhaltung,2650
76,2005,Naturschutz und Landschaftspflege,1340
77,2005,Bodensanierung,70
78,2005,Klimaschutz,0
79,2005,Reaktorsicherheit,250
80,2006,Abfallentsorgung,14500
81,2006,Gewässerschutz,15570
82,2006,Lärmbekämpfung,300
83,2006,Luftreinhaltung,2290
84,2006,Naturschutz und Landschaftspflege,1360
85,2006,Bodensanierung,70
86,2006,Klimaschutz,510
87,2006,Reaktorsicherheit,260
88,2007,Abfallentsorgung,14820
89,2007,Gewässerschutz,14740
90,2007,Lärmbekämpfung,300
91,2007,Luftreinhaltung,2520
92,2007,Naturschutz und Landschaftspflege,1240
93,2007,Bodensanierung,80
94,2007,Klimaschutz,1240
95,2007,Reaktorsicherheit,250
96,2008,Abfallentsorgung,15300
97,2008,Gewässerschutz,14430
98,2008,Lärmbekämpfung,320
99,2008,Luftreinhaltung,2610
100,2008,Naturschutz und Landschaftspflege,1340
101,2008,Bodensanierung,60
102,2008,Klimaschutz,1690
103,2008,Reaktorsicherheit,290
104,2009,Abfallentsorgung,14350
105,2009,Gewässerschutz,14600
106,2009,Lärmbekämpfung,350
107,2009,Luftreinhaltung,2550
108,2009,Naturschutz und Landschaftspflege,1390
109,2009,Bodensanierung,70
110,2009,Klimaschutz,1720
111,2009,Reaktorsicherheit,330
112,2010,Abfallentsorgung,14960
113,2010,Gewässerschutz,13750
114,2010,Lärmbekämpfung,360
115,2010,Luftreinhaltung,2660
116,2010,Naturschutz und Landschaftspflege,1400
117,2010,Bodensanierung,90
118,2010,Klimaschutz,2140
119,2010,Reaktorsicherheit,420
