,Jahr,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,UK
0,2010-01-01,1304.6,,278.9,1647.2,169.0,,10279.5,,,,4677.3,53915.3,,9970.6,,,552.6,,6821.9,425.0,93.0,75.8,,,,2718.4,,1087.4,1179.2,278.9,288.7,,5891.5
1,2011-01-01,1217.8,,261.7,1830.6,130.9,,11415.3,,,,3157.3,53144.4,,10017.6,,,370.6,,6253.7,376.2,105.1,88.0,,,,2930.5,,1211.9,1429.3,331.9,303.8,,4601.0
2,2012-01-01,1246.6,,211.5,1836.6,117.1,1516.3,11700.8,,,,2780.9,53823.3,,10098.1,,,382.5,,6609.0,373.2,103.4,148.0,,,,2707.8,,965.9,1592.5,404.5,341.1,,6671.9
3,2013-01-01,1228.3,,380.2,1890.9,114.5,1405.2,11331.4,,,,2309.6,52389.7,,10281.5,,,380.2,,5344.8,252.3,133.7,172.4,11.9,3678.5,1261.5,2585.2,,1051.8,1561.1,367.2,263.4,1145.8,7117.1
4,2014-01-01,692.6,2110.4,833.0,1887.6,43.9,1569.6,12079.8,,231.6,767.4,2235.3,53252.0,601.2,9773.2,228.5,1347.6,555.4,24.5,4783.2,303.5,141.8,139.0,23.9,4088.7,1169.0,3405.2,610.0,1131.6,1572.3,496.0,337.2,1220.3,7332.8
5,2015-01-01,690.3,2079.7,941.8,2123.5,76.2,1911.4,11314.0,,234.3,685.3,2369.6,56456.5,654.5,9470.4,225.2,1690.0,500.2,30.4,5446.1,219.0,136.6,151.9,74.8,4567.4,1423.2,3623.3,684.4,1656.5,1781.7,509.6,651.2,1252.9,9783.8
6,2016-01-01,763.0,2082.6,282.1,2102.0,58.1,1134.1,11730.0,,104.1,383.6,2219.1,47334.0,721.7,9157.5,243.8,428.6,439.2,40.8,5477.3,186.3,161.8,71.9,14.1,3055.7,1128.6,1493.7,511.3,609.2,1939.6,273.0,295.5,1248.0,8196.8
7,2017-01-01,1202.0,2451.9,235.2,2043.2,61.7,1369.2,12142.0,,129.8,276.2,2427.4,49741.4,634.0,9817.9,246.0,481.0,444.9,43.5,5401.4,122.6,196.5,77.5,16.7,2753.6,1142.7,1604.0,571.7,456.8,2030.0,222.1,338.8,1396.6,7978.9
8,2018-01-01,1384.2,2828.9,255.1,1933.7,33.4,1611.3,13449.6,,182.7,381.3,2633.5,55289.8,673.5,10318.7,247.8,638.0,544.1,51.1,5441.5,140.9,220.9,93.6,20.7,3257.6,1216.3,2438.5,656.3,700.3,2308.1,300.6,332.9,1252.0,
9,2019-01-01,1457.3,2748.5,232.5,2111.6,101.8,1621.9,13977.8,,111.2,363.1,2831.2,58680.8,526.6,11479.5,247.5,988.3,667.3,75.1,5626.1,194.6,219.7,124.0,25.9,3327.9,1347.9,2846.8,704.4,733.5,2335.5,313.1,322.4,1004.0,
